location,AccHalfAng__DEG,RCR,CR,r_a__m,rr_g,rr_ut,rt_g,rgap,length__m,beta__DEG,T_in__K,intensity__Wh__m2,datetime__now
TOLEDO-WINLOCK MEM,58,0.750009988059873,1.29695191656053,0.05,1.87460257617149,0.100000013968184,0.2,0,2,40.9290665669187,513,153296.144016794,736102.922959028
TOLEDO-WINLOCK MEM,61.9907108180616,0.750009986999064,1.26122660060134,0.05,1.89889518222778,0.100000016371928,0.2,0,2,41.2705838491317,513,152641.511298599,736102.920715567
TOLEDO-WINLOCK MEM,56.0000115123863,0.748804291577084,1.32625302032656,0.05,1.89843283766891,0.100000016471395,0.2,0,2,41.222032909242,513,151845.365883698,736102.819384039
TOLEDO-WINLOCK MEM,56.0000115123863,0.748804291577084,1.32625302032656,0.05,1.89843283766891,0.100000016471395,0.2,0,2,41.222032909242,513,151845.365883698,736102.816186829
TOLEDO-WINLOCK MEM,58,0.750009988059873,1.29695191656053,0.05,1.87460257617149,0.100000013968184,0.2,0,2,40.9290665669187,513,153296.144016794,736102.797713773
TOLEDO-WINLOCK MEM,79.01,0.750009995304098,1.0892913980328,0.05,1.54322715887786,0.100531726461008,0.2,0,2,35.2935688355112,413,313251.669800448,736102.781315787
TOLEDO-WINLOCK MEM,49.9997350638681,0.99999999520826,1.5414427596967,0.05,1.86341981350534,0.100000003902788,0.2,0,2,40.718301708992,533,135160.73748336,736102.769114606
TOLEDO-WINLOCK MEM,49.9995274979421,0.999999995208258,1.54144581776489,0.05,1.86341517121486,0.100000003902789,0.2,0,2,40.717364350453,533,135160.523699678,736102.760029583
TOLEDO-WINLOCK MEM,79.9999751025062,0.502900412870539,1.04102718428905,0.05,1.40010052706244,0.100000024845824,0.2,0,2,35.0100044913608,393,357819.748116677,736102.756784641
TOLEDO-WINLOCK MEM,35.0123450330681,0.999999973545274,2.03278754092043,0.05,1.80913627555115,0.100000149768305,0.2,0,2,43.7965441511145,573,114268.275474653,736102.746867257
TOLEDO-WINLOCK MEM,79.9999751024713,0.502901659013155,1.0410450740141,0.05,1.40025687119612,0.100000024845877,0.2,0,2,35.0098735915681,393,357816.89805667,736102.738587847
TOLEDO-WINLOCK MEM,34.9829675939591,0.99999999425756,1.99599395027894,0.05,1.72549422075564,0.100000025705974,0.2,0,2,44.015356190715,553,125604.750601286,736102.721614167
TOLEDO-WINLOCK MEM,79.9970463989495,0.502743060116818,1.04101117619945,0.05,1.40002954570964,0.100005076505594,0.2,0,2,35.3444394997621,393,357766.998256644,736102.707665093
TOLEDO-WINLOCK MEM,79.9999980599787,0.500060600017518,1.04078523004191,0.05,1.40000999737516,0.365554117416828,0.2,0,2,34.1393440810457,373,384523.621039049,736102.690641574
