location,AccHalfAng__DEG,RCR,CR,r_a__m,rr_g,rr_ut,rt_g,rgap,length__m,beta__DEG,T_in__K,intensity__Wh__m2,datetime__now
INDIANAPOLIS INTL AP,58.4600110192243,0.868135012000876,1.31749176830169,0.039999874127745,1.8001759772718,0.200001600737682,0.799987912748918,8.80586302669552e-05,1,32.5091291532474,500,206859.384990711,736077.992834178
LOS ANGELES INTL ARPT,59.9731863810378,0.501815689319096,1.176051232976,0.0499942167756857,1.72113302905285,0.399998235712419,0.494014213610449,0.100116020188463,1,28.314980483339,500,302127.36670222,736077.992793947
ATLANTA HARTSFIELD INTL AP,59.228345333874,0.68448424796544,1.26246610623473,0.0409122570265853,1.79635520098293,0.29140561164902,0.683051000345361,0.0962748637592911,1,31.3124858504988,500,245746.94136933,736077.989902187
ATLANTA HARTSFIELD INTL AP,59.228345333874,0.68448424796544,1.26246610623473,0.0409122570265853,1.79635520098293,0.29140561164902,0.683051000345361,0.0962748637592911,1,31.3124858504988,500,245746.94136933,736077.988445972
INDIANAPOLIS INTL AP,71.5199106045826,0.750058374594685,1.14972622412726,0.0499999081699394,1.69991699897909,0.200094155487451,0.799997937878836,7.92107376300529e-07,1,30.7343667015778,450,355578.052644485,736077.977869201
ATLANTA HARTSFIELD INTL AP,60.5963241934901,0.500009934354978,1.15296654354338,0.0499999984366509,1.69968789910545,0.399984102492093,0.799999752869721,5.35191593099617e-10,1,27.7893704839801,450,440279.513713574,736077.976583194
LOS ANGELES INTL ARPT,64.9745109379738,0.52592584010247,1.12809751260954,0.0407858169701266,1.56029439240943,0.395782214964369,0.523246540954439,0.0968277466690188,1,31.7449053105121,450,448086.872301382,736077.970598299
LOS ANGELES INTL ARPT,59.9993490022945,0.499962077930542,1.15572157853489,0.0400003905194918,1.59041250262146,0.399968827516456,0.547021433865633,0.101712045489016,1,28.5248868698264,450,447767.812761028,736077.968883148
INDIANAPOLIS INTL AP,65.2395024888733,0.641451778822788,1.16219931444395,0.0499958943607717,1.69961193182928,0.200996790027974,0.799994091242644,6.79032464194313e-06,1,31.3028721344278,450,350569.324834601,736077.968335405
ATLANTA HARTSFIELD INTL AP,62.4178333267938,0.515117941163535,1.14551408976889,0.0499999984504227,1.6959127075115,0.399982023854459,0.799999752702319,5.35052841877204e-10,1,27.5087201863823,450,439274.368113459,736077.966863426
ATLANTA HARTSFIELD INTL AP,79.0034771053259,0.750044148774401,1.08072276231949,0.0499999907635993,1.49631135753891,0.399984528429987,0.79999995147582,6.28920404944036e-07,1,27.8200888104263,400,628110.743584138,736077.936664282
LOS ANGELES INTL ARPT,71.0952268769045,0.500009994279552,1.06796305709367,0.0498474547954212,1.44211256391173,0.399928613637463,0.799997073569696,4.9796024878871e-07,1,28.1347874004554,400,693001.680874593,736077.935961065
INDIANAPOLIS INTL AP,71.9999424858178,0.500009988786203,1.06988436535352,0.0499999999513291,1.48229789024856,0.399656888782058,0.7999996429944,1.88444458222587e-06,1,29.2090346292612,400,512767.022381147,736077.935828264
LOS ANGELES INTL ARPT,71.0952781120304,0.499703625554201,1.06792157086076,0.0498474493800831,1.44211529027588,0.399928625381553,0.79999707356712,4.97950662066131e-07,1,28.1347242598682,400,692952.306564406,736077.930193704
INDIANAPOLIS INTL AP,71.9997952711044,0.499977752502624,1.06988047093447,0.0499999999513296,1.4822989863231,0.399656889355482,0.799999642994051,1.88428746018139e-06,1,29.2090277415355,400,512733.384702575,736077.930087349
ATLANTA HARTSFIELD INTL AP,79.9147146330278,0.749900112883658,1.07543234771379,0.0499999997996117,1.48060504431769,0.249658211590283,0.79999902937187,1.2308848826468e-06,1,27.7154711740153,400,627824.816578845,736077.92844066
PHOENIX SKY HARBOR INTL AP,61.0012114246959,0.50165669577572,1.14610928652923,0.0499999969181138,1.66714995517569,0.399963741379814,0.799999995154024,2.22644780406563e-09,1,30.3979963895568,450,670176.556224229,736077.907082465
PHOENIX SKY HARBOR INTL AP,65.6198285357239,0.500009797345715,1.10330964569864,0.049999479674329,1.54521727429248,0.399995860787113,0.799984633056176,1.57482142612801e-05,1,31.2622512195851,450,663145.391667409,736077.900005845
ATLANTA HARTSFIELD INTL AP,79.9999874454082,0.750000001965938,1.07412153765945,0.0499999113911107,1.47442360513552,0.200694280674322,0.799999971148622,1.24209217347433e-08,1.5,27.4279145640482,400,673957.501621385,736077.254957384
ATLANTA HARTSFIELD INTL AP,79.999987465894,0.747775953849396,1.07357110317121,0.0499999113088925,1.47256102761895,0.200792191245571,0.799999971168613,1.24228087754828e-08,1.5,27.3629251691332,400,673919.404197464,736077.244813183
LOS ANGELES INTL ARPT,79.9999991332119,0.500000809965022,1.04077927525134,0.0499999999576102,1.40000047402112,0.398647805709952,0.799999944082296,5.63859577381983e-09,1.5,28.3284571843083,400,743757.406797899,736077.237339919
LOS ANGELES INTL ARPT,79.9999998578407,0.500082968830588,1.04078799142039,0.049999999553845,1.40001760988606,0.39993762768568,0.799999978298691,6.96617457217205e-07,1.5,28.4201149294835,400,743742.149698373,736077.22831963
INDIANAPOLIS INTL AP,78.9999945866187,0.749999995566918,1.09025753546956,0.0499991669102637,1.54828948689218,0.241106846811198,0.799999867083104,1.77688927159451e-07,1.5,29.0478630941715,400,557413.554491859,736077.219749421
